# GR Density Profile for M = 1.4 M_sun
# EOS: SLy4
# M_total = 1.400000 M_sun
# R_total = 13.373536 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
1.000000e-03 6.823630e+34 0.000000e+00 5.668066e+14
2.779867e-02 6.823554e+34 3.137396e-08 5.668041e+14
5.459734e-02 6.823335e+34 2.376978e-07 5.667968e+14
8.139601e-02 6.822974e+34 7.876166e-07 5.667849e+14
1.081947e-01 6.822471e+34 1.849754e-06 5.667683e+14
1.349933e-01 6.821826e+34 3.592700e-06 5.667470e+14
1.617920e-01 6.821038e+34 6.185004e-06 5.667210e+14
1.885907e-01 6.820108e+34 9.795158e-06 5.666903e+14
2.153894e-01 6.819037e+34 1.459159e-05 5.666549e+14
2.421880e-01 6.817823e+34 2.074266e-05 5.666148e+14
2.689867e-01 6.816467e+34 2.841663e-05 5.665700e+14
2.957854e-01 6.814969e+34 3.778167e-05 5.665205e+14
3.225840e-01 6.813329e+34 4.900585e-05 5.664663e+14
3.493827e-01 6.811548e+34 6.225711e-05 5.664074e+14
3.761814e-01 6.809624e+34 7.770327e-05 5.663439e+14
4.029800e-01 6.807559e+34 9.551200e-05 5.662756e+14
4.297787e-01 6.805353e+34 1.158508e-04 5.662027e+14
4.565774e-01 6.803005e+34 1.388872e-04 5.661250e+14
4.833761e-01 6.800516e+34 1.647881e-04 5.660427e+14
5.101747e-01 6.797886e+34 1.937208e-04 5.659556e+14
5.369734e-01 6.795114e+34 2.258519e-04 5.658639e+14
5.637721e-01 6.792202e+34 2.613482e-04 5.657675e+14
5.905707e-01 6.789149e+34 3.003760e-04 5.656664e+14
6.173694e-01 6.785955e+34 3.431015e-04 5.655606e+14
6.441681e-01 6.782620e+34 3.896907e-04 5.654501e+14
6.709667e-01 6.779146e+34 4.403092e-04 5.653349e+14
6.977654e-01 6.775530e+34 4.951225e-04 5.652151e+14
7.245641e-01 6.771775e+34 5.542958e-04 5.650905e+14
7.513627e-01 6.767880e+34 6.179939e-04 5.649613e+14
7.781614e-01 6.763846e+34 6.863815e-04 5.648274e+14
8.049601e-01 6.759671e+34 7.596229e-04 5.646888e+14
8.317588e-01 6.755358e+34 8.378821e-04 5.645455e+14
8.585574e-01 6.750905e+34 9.213228e-04 5.643976e+14
8.853561e-01 6.746314e+34 1.010108e-03 5.642449e+14
9.121548e-01 6.741583e+34 1.104402e-03 5.640876e+14
9.389534e-01 6.736715e+34 1.204366e-03 5.639256e+14
9.657521e-01 6.731707e+34 1.310162e-03 5.637590e+14
9.925508e-01 6.726562e+34 1.421954e-03 5.635876e+14
1.019349e+00 6.721279e+34 1.539902e-03 5.634116e+14
1.046148e+00 6.715859e+34 1.664167e-03 5.632309e+14
1.072947e+00 6.710301e+34 1.794911e-03 5.630455e+14
1.099745e+00 6.704606e+34 1.932293e-03 5.628555e+14
1.126544e+00 6.698774e+34 2.076474e-03 5.626608e+14
1.153343e+00 6.692806e+34 2.227612e-03 5.624614e+14
1.180141e+00 6.686702e+34 2.385868e-03 5.622574e+14
1.206940e+00 6.680461e+34 2.551399e-03 5.620487e+14
1.233739e+00 6.674085e+34 2.724365e-03 5.618353e+14
1.260537e+00 6.667574e+34 2.904921e-03 5.616173e+14
1.287336e+00 6.660927e+34 3.093226e-03 5.613946e+14
1.314135e+00 6.654145e+34 3.289437e-03 5.611672e+14
1.340933e+00 6.647230e+34 3.493709e-03 5.609352e+14
1.367732e+00 6.640179e+34 3.706198e-03 5.606986e+14
1.394531e+00 6.632995e+34 3.927060e-03 5.604573e+14
1.421329e+00 6.625678e+34 4.156448e-03 5.602113e+14
1.448128e+00 6.618227e+34 4.394517e-03 5.599607e+14
1.474927e+00 6.610644e+34 4.641421e-03 5.597054e+14
1.501725e+00 6.602928e+34 4.897312e-03 5.594455e+14
1.528524e+00 6.595080e+34 5.162343e-03 5.591809e+14
1.555323e+00 6.587100e+34 5.436665e-03 5.589117e+14
1.582122e+00 6.578989e+34 5.720430e-03 5.586379e+14
1.608920e+00 6.570746e+34 6.013788e-03 5.583594e+14
1.635719e+00 6.562373e+34 6.316890e-03 5.580763e+14
1.662518e+00 6.553870e+34 6.629884e-03 5.577885e+14
1.689316e+00 6.545237e+34 6.952920e-03 5.574961e+14
1.716115e+00 6.536474e+34 7.286145e-03 5.571991e+14
1.742914e+00 6.527582e+34 7.629707e-03 5.568974e+14
1.769712e+00 6.518562e+34 7.983753e-03 5.565912e+14
1.796511e+00 6.509413e+34 8.348428e-03 5.562803e+14
1.823310e+00 6.500137e+34 8.723879e-03 5.559647e+14
1.850108e+00 6.490733e+34 9.110249e-03 5.556446e+14
1.876907e+00 6.481202e+34 9.507683e-03 5.553198e+14
1.903706e+00 6.471544e+34 9.916325e-03 5.549904e+14
1.930504e+00 6.461760e+34 1.033632e-02 5.546564e+14
1.957303e+00 6.451851e+34 1.076780e-02 5.543178e+14
1.984102e+00 6.441816e+34 1.121091e-02 5.539746e+14
2.010900e+00 6.431657e+34 1.166580e-02 5.536268e+14
2.037699e+00 6.421373e+34 1.213261e-02 5.532743e+14
2.064498e+00 6.410966e+34 1.261146e-02 5.529173e+14
2.091296e+00 6.400435e+34 1.310250e-02 5.525557e+14
2.118095e+00 6.389781e+34 1.360587e-02 5.521895e+14
2.144894e+00 6.379005e+34 1.412171e-02 5.518186e+14
2.171692e+00 6.368107e+34 1.465014e-02 5.514432e+14
2.198491e+00 6.357087e+34 1.519131e-02 5.510632e+14
2.225290e+00 6.345947e+34 1.574534e-02 5.506786e+14
2.252088e+00 6.334686e+34 1.631238e-02 5.502895e+14
2.278887e+00 6.323306e+34 1.689255e-02 5.498957e+14
2.305686e+00 6.311806e+34 1.748599e-02 5.494974e+14
2.332484e+00 6.300187e+34 1.809282e-02 5.490945e+14
2.359283e+00 6.288450e+34 1.871318e-02 5.486870e+14
2.386082e+00 6.276595e+34 1.934720e-02 5.482749e+14
2.412880e+00 6.264623e+34 1.999499e-02 5.478583e+14
2.439679e+00 6.252534e+34 2.065670e-02 5.474371e+14
2.466478e+00 6.240329e+34 2.133245e-02 5.470114e+14
2.493276e+00 6.228009e+34 2.202236e-02 5.465811e+14
2.520075e+00 6.215573e+34 2.272655e-02 5.461462e+14
2.546874e+00 6.203023e+34 2.344516e-02 5.457068e+14
2.573672e+00 6.190359e+34 2.417829e-02 5.452629e+14
2.600471e+00 6.177582e+34 2.492608e-02 5.448144e+14
2.627270e+00 6.164692e+34 2.568865e-02 5.443613e+14
2.654068e+00 6.151690e+34 2.646612e-02 5.439038e+14
2.680867e+00 6.138576e+34 2.725859e-02 5.434416e+14
2.707666e+00 6.125352e+34 2.806620e-02 5.429750e+14
2.734464e+00 6.112017e+34 2.888906e-02 5.425038e+14
2.761263e+00 6.098572e+34 2.972728e-02 5.420281e+14
2.788062e+00 6.085018e+34 3.058098e-02 5.415479e+14
2.814860e+00 6.071356e+34 3.145028e-02 5.410631e+14
2.841659e+00 6.057586e+34 3.233528e-02 5.405739e+14
2.868458e+00 6.043708e+34 3.323610e-02 5.400801e+14
2.895256e+00 6.029724e+34 3.415285e-02 5.395818e+14
2.922055e+00 6.015634e+34 3.508564e-02 5.390790e+14
2.948854e+00 6.001438e+34 3.603457e-02 5.385717e+14
2.975652e+00 5.987138e+34 3.699976e-02 5.380600e+14
3.002451e+00 5.972734e+34 3.798132e-02 5.375437e+14
3.029250e+00 5.958226e+34 3.897934e-02 5.370229e+14
3.056048e+00 5.943615e+34 3.999393e-02 5.364976e+14
3.082847e+00 5.928902e+34 4.102520e-02 5.359679e+14
3.109646e+00 5.914088e+34 4.207324e-02 5.354337e+14
3.136444e+00 5.899173e+34 4.313817e-02 5.348950e+14
3.163243e+00 5.884158e+34 4.422007e-02 5.343518e+14
3.190042e+00 5.869044e+34 4.531906e-02 5.338042e+14
3.216840e+00 5.853830e+34 4.643521e-02 5.332520e+14
