# RDT Density Profile for M = 1.4 M_sun
# EOS: SLy4, α = 0.3
# M_total = 1.400000 M_sun
# R_total = 13.638666 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
1.000000e-03 4.839502e+34 0.000000e+00 4.942174e+14
2.832999e-02 4.839461e+34 2.796877e-08 4.942157e+14
5.565999e-02 4.839343e+34 2.121176e-07 4.942109e+14
8.298998e-02 4.839148e+34 7.031062e-07 4.942029e+14
1.103200e-01 4.838875e+34 1.651580e-06 4.941918e+14
1.376500e-01 4.838526e+34 3.208163e-06 4.941775e+14
1.649800e-01 4.838101e+34 5.523450e-06 4.941601e+14
1.923099e-01 4.837598e+34 8.748001e-06 4.941396e+14
2.196399e-01 4.837018e+34 1.303233e-05 4.941159e+14
2.469699e-01 4.836361e+34 1.852691e-05 4.940890e+14
2.742999e-01 4.835628e+34 2.538215e-05 4.940590e+14
3.016299e-01 4.834818e+34 3.374839e-05 4.940259e+14
3.289599e-01 4.833931e+34 4.377592e-05 4.939896e+14
3.562899e-01 4.832967e+34 5.561492e-05 4.939502e+14
3.836199e-01 4.831926e+34 6.941551e-05 4.939076e+14
4.109499e-01 4.830809e+34 8.532771e-05 4.938619e+14
4.382799e-01 4.829615e+34 1.035014e-04 4.938130e+14
4.656099e-01 4.828344e+34 1.240865e-04 4.937610e+14
4.929399e-01 4.826997e+34 1.472326e-04 4.937058e+14
5.202699e-01 4.825573e+34 1.730894e-04 4.936475e+14
5.475999e-01 4.824072e+34 2.018062e-04 4.935861e+14
5.749298e-01 4.822495e+34 2.335324e-04 4.935214e+14
6.022598e-01 4.820842e+34 2.684172e-04 4.934537e+14
6.295898e-01 4.819112e+34 3.066096e-04 4.933828e+14
6.569198e-01 4.817305e+34 3.482584e-04 4.933088e+14
6.842498e-01 4.815423e+34 3.935125e-04 4.932316e+14
7.115798e-01 4.813464e+34 4.425202e-04 4.931512e+14
7.389098e-01 4.811428e+34 4.954301e-04 4.930677e+14
7.662398e-01 4.809317e+34 5.523902e-04 4.929811e+14
7.935698e-01 4.807129e+34 6.135485e-04 4.928913e+14
8.208998e-01 4.804866e+34 6.790529e-04 4.927984e+14
8.482298e-01 4.802526e+34 7.490510e-04 4.927023e+14
8.755598e-01 4.800110e+34 8.236900e-04 4.926031e+14
9.028898e-01 4.797619e+34 9.031171e-04 4.925007e+14
9.302198e-01 4.795052e+34 9.874794e-04 4.923952e+14
9.575497e-01 4.792409e+34 1.076923e-03 4.922865e+14
9.848797e-01 4.789690e+34 1.171596e-03 4.921746e+14
1.012210e+00 4.786895e+34 1.271642e-03 4.920597e+14
1.039540e+00 4.784026e+34 1.377209e-03 4.919415e+14
1.066870e+00 4.781080e+34 1.488442e-03 4.918202e+14
1.094200e+00 4.778060e+34 1.605487e-03 4.916958e+14
1.121530e+00 4.774964e+34 1.728488e-03 4.915682e+14
1.148860e+00 4.771792e+34 1.857591e-03 4.914374e+14
1.176190e+00 4.768546e+34 1.992940e-03 4.913036e+14
1.203520e+00 4.765225e+34 2.134679e-03 4.911665e+14
1.230850e+00 4.761828e+34 2.282953e-03 4.910263e+14
1.258180e+00 4.758357e+34 2.437904e-03 4.908829e+14
1.285510e+00 4.754811e+34 2.599677e-03 4.907364e+14
1.312840e+00 4.751191e+34 2.768415e-03 4.905867e+14
1.340170e+00 4.747495e+34 2.944259e-03 4.904339e+14
1.367500e+00 4.743726e+34 3.127353e-03 4.902779e+14
1.394830e+00 4.739882e+34 3.317838e-03 4.901188e+14
1.422160e+00 4.735963e+34 3.515857e-03 4.899565e+14
1.449490e+00 4.731971e+34 3.721549e-03 4.897910e+14
1.476820e+00 4.727904e+34 3.935058e-03 4.896224e+14
1.504150e+00 4.723764e+34 4.156522e-03 4.894507e+14
1.531480e+00 4.719550e+34 4.386082e-03 4.892757e+14
1.558810e+00 4.715261e+34 4.623878e-03 4.890976e+14
1.586140e+00 4.710900e+34 4.870050e-03 4.889164e+14
1.613470e+00 4.706465e+34 5.124735e-03 4.887320e+14
1.640800e+00 4.701956e+34 5.388074e-03 4.885444e+14
1.668130e+00 4.697374e+34 5.660204e-03 4.883537e+14
1.695460e+00 4.692719e+34 5.941262e-03 4.881598e+14
1.722790e+00 4.687991e+34 6.231387e-03 4.879627e+14
1.750120e+00 4.683191e+34 6.530715e-03 4.877625e+14
1.777450e+00 4.678317e+34 6.839382e-03 4.875591e+14
1.804780e+00 4.673371e+34 7.157525e-03 4.873525e+14
1.832110e+00 4.668352e+34 7.485279e-03 4.871428e+14
1.859440e+00 4.663261e+34 7.822779e-03 4.869299e+14
1.886769e+00 4.658098e+34 8.170160e-03 4.867139e+14
1.914099e+00 4.652862e+34 8.527556e-03 4.864946e+14
1.941429e+00 4.647555e+34 8.895101e-03 4.862722e+14
1.968759e+00 4.642176e+34 9.272927e-03 4.860467e+14
1.996089e+00 4.636725e+34 9.661168e-03 4.858180e+14
2.023419e+00 4.631203e+34 1.005996e-02 4.855861e+14
2.050749e+00 4.625609e+34 1.046942e-02 4.853510e+14
2.078079e+00 4.619944e+34 1.088970e-02 4.851127e+14
2.105409e+00 4.614209e+34 1.132091e-02 4.848713e+14
2.132739e+00 4.608402e+34 1.176320e-02 4.846267e+14
2.160069e+00 4.602524e+34 1.221668e-02 4.843790e+14
2.187399e+00 4.596576e+34 1.268150e-02 4.841280e+14
2.214729e+00 4.590557e+34 1.315777e-02 4.838739e+14
2.242059e+00 4.584469e+34 1.364562e-02 4.836166e+14
2.269389e+00 4.578310e+34 1.414519e-02 4.833561e+14
2.296719e+00 4.572081e+34 1.465660e-02 4.830925e+14
2.324049e+00 4.565782e+34 1.517998e-02 4.828256e+14
