case,A,alpha,M,R,k2,Lam,dR_frac,dk2_frac,dLam_frac
GR,0.0,0.2,1.0,11.821984087553025,0.10277383463184775,2253.3380173247183,0.0,0.0,0.0
A95@0.12,0.0087,0.12,1.0,11.881042010127166,0.10462790528081689,2351.863417955111,0.00499560159587098,0.01804029844376953,0.043724199331339975
A95@0.15,0.0083,0.15,1.0,11.879618065590794,0.10456852347821022,2349.1205257333554,0.004875152733325949,0.01746250738615851,0.04250694199992022
A95@0.334,0.0061,0.334,1.0,11.865142596012365,0.10409601297763522,2324.2926662214163,0.0036506992514717673,0.01286493153168533,0.0314886840550177
GR,0.0,0.2,1.2,11.773571346011108,0.09161964209938253,790.8887226371609,0.0,0.0,0.0
A95@0.12,0.0087,0.12,1.2,11.831709952048618,0.09349680863337181,827.2180925005855,0.004938060366636909,0.020488690972543466,0.045934868994321976
A95@0.15,0.0083,0.15,1.2,11.830231548513824,0.09343889617388013,826.1893613552315,0.004812490691018079,0.019856594424634277,0.04463414094509188
A95@0.334,0.0061,0.334,1.2,11.815953300867639,0.09296134455314779,817.0185139458588,0.0035997535166667483,0.014644266480651424,0.03303851801245816
GR,0.0,0.2,1.4,11.685867005097116,0.07746263895883355,298.022290164872,0.0,0.0,0.0
A95@0.12,0.0087,0.12,1.4,11.745532734897234,0.0792546294231259,312.78074013594784,0.005105802571096607,0.02313360980697654,0.049521295749090255
A95@0.15,0.0083,0.15,1.4,11.743970889002481,0.07919943124188442,312.3551435786745,0.004972150023615951,0.022421031692114957,0.04809322620087664
A95@0.334,0.0061,0.334,1.4,11.729276285779699,0.07874606819192936,308.6289945290729,0.003714682073965969,0.016568364444411232,0.03559030553833087
GR,0.0,0.2,1.6,11.529611167210273,0.061816805847935856,114.04385327535122,0.0,0.0,0.0
A95@0.12,0.0087,0.12,1.6,11.594113309149925,0.06348686493353564,120.43802493984732,0.005594476778461921,0.027016263016047537,0.056067657141133154
A95@0.15,0.0083,0.15,1.6,11.592375412884488,0.06343258693746436,120.24488258282024,0.005443743484837782,0.026138217065164948,0.05437407742175315
A95@0.334,0.0061,0.334,1.6,11.576460950531104,0.06301215874616997,118.63024393358663,0.004063431337048895,0.01933702141088589,0.04021602678718561
